CIM_BindsTo,,,Msvm_RegisteredGuestService,,,Msvm_VirtualSystemResourceComponent,Msvm_Synthetic3DServiceSettingData,Msvm_ResourcePoolConfigurationCapabilities,,Msvm_LogicalDisk,,Msvm_SummaryInformation,Msvm_ServiceAffectsElement,,Msvm_SystemReplicationRelationship,Msvm_MetricServiceCapabilities,Msvm_EthernetPortData,,Msvm_VirtualFcSwitchSettingData,,Msvm_CollectionSettingData,Msvm_NetworkConnectionDiagnosticInformation,
CIM_BindsToLANEndpoint,,,Msvm_ShutdownComponent,,,Msvm_VirtualSystemResourceRegistration,Msvm_TerminalService,Msvm_ResourcePoolConfigurationService,,Msvm_MediaPresent,,Msvm_SystemComponent,Msvm_ServicingSettings,,,Msvm_MetricServiceSettingData,Msvm_EthernetPortFailoverSettingDataComponent,,,,Msvm_CollectionSnapshotExportSettingData,Msvm_NetworkConnectionDiagnosticSettingData,
CIM_BIOSElement,,,Msvm_ShutdownComponentSettingData,,,,Msvm_TerminalServiceSettingData,Msvm_ResourcePoolSettingData,,Msvm_MountedStorageImage,,Msvm_SystemDevice,Msvm_SettingsDefineState,,,,Msvm_EthernetPortInfo,,,,Msvm_CollectionSnapshotService,Msvm_PartitionableGpu,
CIM_Capabilities,,,Msvm_TimeSyncComponent,,,,,Msvm_SettingsDefineCapabilities,,Msvm_ProtocolControllerForUnit,,Msvm_VirtualSystemCapabilities,Msvm_SystemExportSettingData,,,,Msvm_EthernetPortSettingDataComponent,,,,Msvm_ComputerSystemSummaryInformation,Msvm_PciExpress,
CIM_CDROMDrive,,,Msvm_TimeSyncComponentSettingData,,,,,,,Msvm_SCSIProtocolController,,Msvm_VirtualSystemSettingData,Msvm_VirtualSystemExportSettingData,,,,Msvm_EthernetSwitchBandwidthData,,,,Msvm_ElementConformsToProfile,Msvm_PciExpressSettingData,
CIM_CollectedMSEs,,,Msvm_VssComponent,,,,,,,Msvm_StorageAlert,,Msvm_VirtualSystemSettingDataComponent,Msvm_VirtualSystemManagementCapabilities,,,,Msvm_EthernetSwitchData,,,,Msvm_EthernetSwitchPortExtendedAclSettingData,Msvm_SecurityElement,
CIM_Collection,,,Msvm_VssComponentSettingData,,,,,,,Msvm_StorageAllocationSettingData,,,Msvm_VirtualSystemManagementService,,,,Msvm_EthernetSwitchExtension,,,,Msvm_EthernetSwitchPortIsolationSettingData,Msvm_SecurityService,
CIM_CollectionOfMSEs,,,,,,,,,,Msvm_StorageJob,,,Msvm_VirtualSystemManagementServiceSettingData,,,,Msvm_EthernetSwitchExtensionCapabilities,,,,Msvm_EthernetSwitchPortRoutingDomainSettingData,Msvm_SecuritySettingData,
CIM_Component,,,,,,,,,,Msvm_VirtualHardDiskSettingData,,,Msvm_VirtualSystemSnapshotService,,,,Msvm_EthernetSwitchFeatureCapabilities,,,,Msvm_EthernetSwitchPortVfpSettingData,Msvm_StorageSettingData,
CIM_ComputerSystem,,,,,,,,,,Msvm_VirtualHardDiskState,,,,,,,Msvm_EthernetSwitchFeatureSettingData,,,,Msvm_GuestClusterInformation,Msvm_SummaryInformationBase,
CIM_ConcreteComponent,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchHardwareOffloadData,,,,Msvm_GuestCommunicationService,Msvm_SystemComponentSettingData,
CIM_ConcreteDependency,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchInfo,,,,Msvm_GuestCommunicationServiceSettingData,Msvm_VirtualSystemReferencePointExportJob,
CIM_ConcreteJob,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchOperationalData,,,,Msvm_GuestServiceInterfaceSettingDataComponent,,
CIM_ControlledBy,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchPort,,,,Msvm_ManagementCollection,,
CIM_Controller,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchPortAclSettingData,,,,Msvm_MoveUnmanagedVhd,,
CIM_Dependency,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchPortBandwidthData,,,,Msvm_ReferencePointCollection,,
CIM_DesktopMonitor,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchPortBandwidthSettingData,,,,Msvm_ReferencePointOfVirtualSystem,,
CIM_DeviceConnection,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchPortFeatureSettingData,,,,Msvm_ReferencePointOfVirtualSystemCollection,,
CIM_DeviceSAPImplementation,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchPortOffloadData,,,,Msvm_ResourceDependentOnResource,,
CIM_DiskDrive,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchPortOffloadSettingData,,,,Msvm_SerialPortSettingData,,
CIM_DisketteDrive,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchPortProfileSettingData,,,,Msvm_ServiceOfVssComponent,,
CIM_Display,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchPortSecuritySettingData,,,,Msvm_SnapshotCollection,,
CIM_DisplayController,,,,,,,,,,,,,,,,,Msvm_EthernetSwitchPortVlanSettingData,,,,Msvm_SnapshotOfVirtualSystemCollection,,
CIM_DVDDrive,,,,,,,,,,,,,,,,,Msvm_ExternalEthernetPort,,,,Msvm_StandaloneV2ElementConformsToProfile,,
CIM_DynamicForwardingEntry,,,,,,,,,,,,,,,,,Msvm_ExternalEthernetPortCapabilities,,,,Msvm_SyntheticDisplayControllerSettingData,,
